
Name,WKN,ISIN,Symbol
PIK,A0MURH,RU000A0JP7J7,null
FBR,A143J3,AU000000FBR4,null
PrysmianAz,A0MP84,IT0004176001,null
SemiconductorManufacturingInternational,A0B892,US81663N2062,null
Illumina,927079,US4523271090,null
RockleyPhotonics,A3CWN9,KYG7614L1095,null
AlphaLithium,A3CUW1,CA02075X1033,null
Li-Cycle,A3CWUT,CA50202P1053,null
ChargePoint,A2QK1P,US15961R1059,null
AbbottLaboratories,850103,US0028241000,null
Microchip,886105,US5950171042,null
Teradyne,859892,US8807701029,null
Progenity,A2P7FX,US74319F1075,null
Renalytix,A2N765,GB00BYWL4Y04,null
AziyoBiologics,A2QD87,US05479K1060,null
Genetron,A2P661,US37186H1005,null
AlimentationCouche-Tard,908225,CA01626P4033,null
Neometals,A12G4J,AU000000NMT1,null
Nuvve,A2QR1V,US67079Y1001,NVVE
DigitalOcean,A2QRZ4,US25402D1028,DOCN
GigaMetals,A2DWUW,CA37518K1021,HNCKF
Polymetal,A1JLWT,JE00B6T5S470,null
Microvast,A3CV9D,US59516C1062,MVST
AmericanBatteryMetals,A2PJ3E,US02451V1017,ABML
SemiconductorManufacturingInternational,A2DH1J,KYG8020E1199,null
YangtzeOpticalFibreandCable,A12F2G,CNE100001T72,null
Adagene,A2QN4,US0053291078,ADAG
JinkoPowerTechnology,null,CNE100004025,null
Klöckner,KC0100,DE000KC01000,null
SolarEdge,A14QVM,US83417M1045,SEDG
Nuvve,A2QR1V,US67079Y1001,NVVE
FirstCobalt,A2ASGU,CA3197021064,FTSSF
NIO,A2N4PB,US62914V1061,NIO
NiuTechnologies,A2N7LN,US65481N1000,NIU
Lilium,A3CYXP,NL0015000F41,null
SalMarAS,A0MR2G,NO0010310956,null
Tilray,A2JQSC,US88688T1007,TLRY
AuroraCannabis,A2P4EC,CA05156X8843,ACB
DocuSign,A2JHLZ,US2561631068,DOCU
SalMarAS,A0MR2G,NO0010310956,null
Cronos,A2DMQY,CA22717L1013,CRON
PTTimahTbkAktie,A0Q7SR,ID1000111800,PTTMF
AvalonAdvancedMaterials,A3CMVB,CA05337L3048,AVLNF
MinsudResources,A2ACGB,CA60447F1018,MDSQF
MalaysiaSmelting,894593,MYL5916OO001,MYSMF
UnitedCompanyRUSAL,A2QD5B,RU000A1025V3,UNRIF
VERBIOVereinigteBioEnergie,A0JL9W,DE000A0JL9W6,VBVBF
AMTEPower,A2QRD6,GB00BNQRZZ55,AMTE
TrinaSolar,A2QFCY,CNE100003ZR0,CNE100003ZR0
LiontownResources,A0LFDX,AU000000LTR4,LINRF
FBR,A143J3,AU000000FBR4,FBRKF
GrapheneManufacturingGroup,A3CPEX,AU0000139990,GMGMF
HelloFresh,A16140,DE000A161408,HLFFF
HeidelbergCement,604700,DE0006047004,HLBZF
DeliveryHero,A2E4K4,DE000A2E4K43,DLVHF
Zalando,ZAL111,DE000ZAL1111,ZLDSF
5NPlus,A0NAH2,CA33833X1015,FPLSF
Zoomlion,A1H39A,CNE100000X85,ZLIOF
SanyHeavyIndustry,A0M4L4,CNE000001F70,SYHIY
GuangdongGuanhaoHigh-Tech,A0M4L1,CNE000001F47,GGHAF
Carnival,120071,GB0031215220,CUKPF
SpeyResources,A2N4RL,CA84840P1027,SPEYF
EMS-CHEMIE,593186,CH0016440353,EMSHF
CenturyLithium,A14L95,CA2327492005,CYDVF
SigmaLithium,A3CTYQ,CA8265991023,SGML
AtlanticLithium,A3DTM0,AU0000237554,ALLIF
PilbaraMinerals,A0YGCV,AU000000PLS0,PILBF
NyrstarNV,A2AKN7,BE0974294267,NYRSF
Fresnillo,A0MVZE,GB00B2QPKJ12,FNLPF
Amprius Technologies,A3DTK4,US03214Q1085,AMPX
